Season,Player,Team,RAPM,O-RAPM,D-RAPM
2023,Brea Beal,South Carolina Gamecocks,3.1259389942781874,1.5163096901251698,1.6096293041530176
2023,Zia Cooke,South Carolina Gamecocks,3.034135499935188,1.4709961075723974,1.5631393923627905
2023,Jordan Horston,Tennessee Lady Volunteers,2.9706917346274078,1.2507356559318898,1.719956078695518
2023,Aliyah Boston,South Carolina Gamecocks,2.881391250076248,1.3950977737621224,1.4862934763141256
2023,Victaria Saxton,South Carolina Gamecocks,2.8779051252260706,1.3914347561384468,1.4864703690876238
2023,Honesty Scott-Grayson,Auburn Tigers,2.8111147038468625,1.0249867860241522,1.7861279178227105
2023,Hannah Jump,Stanford Cardinal,2.753338926480505,1.4845917434363205,1.2687471830441843
2023,Tess Darby,Tennessee Lady Volunteers,2.7188864213784543,1.7383319278325242,0.98055449354593
2023,Flau'jae Johnson,LSU Tigers,2.6855507571367285,1.3291092187202347,1.356441538416494
2023,Haley Jones,Stanford Cardinal,2.684972207833593,1.4464982905683537,1.2384739172652397
2023,Angel Reese,LSU Tigers,2.6326700984492377,1.301729751593724,1.3309403468555137
2023,Yarden Garzon,Indiana Hoosiers,2.6006435180954073,1.6818124581587763,0.9188310599366312
2023,Chloe Moore-McNeil,Indiana Hoosiers,2.556820250756652,1.6559552963126485,0.9008649544440033
2023,Lou Lopez Senechal,UConn Huskies,2.5494057900490277,1.6109912694339121,0.9384145206151154
2023,Alissa Pili,Utah Utes,2.5465081771099265,2.193002505460616,0.35350567164931074
2023,Nika Muhl,UConn Huskies,2.519001989192632,1.272693394992046,1.246308594200586
2023,Aaliyah Edwards,UConn Huskies,2.503006267114379,1.587803529907181,0.915202737207198
2023,Shaylee Gonzales,Texas Longhorns,2.4894223865638097,0.869734935651769,1.6196874509120407
2023,Matilda Ekh,Michigan State Spartans,2.453444469407207,1.4215189074656873,1.0319255619415197
2023,LaDazhia Williams,LSU Tigers,2.44223096655472,1.366534876321281,1.0756960902334392
2023,Celeste Taylor,Duke Blue Devils,2.3897032354468846,0.7318309436106103,1.6578722918362743
2023,Ta'Niya Latson,Florida State Seminoles,2.374573355306077,1.4472769875286433,0.9272963677774336
2023,Alexis Morris,LSU Tigers,2.3607325773914187,1.014527696448209,1.34620488094321
2023,Kennedy Brown,Duke Blue Devils,2.3576937372619637,0.7187508376993006,1.6389428995626631
2023,Olivia Cochran,Louisville Cardinals,2.3549001465796984,1.3859882109420028,0.9689119356376954
2023,Jocelyn Tate,Bowling Green Falcons,2.334169767420824,1.0238108684938017,1.3103588989270225
2023,Alyza Winston,Florida Gulf Coast Eagles,2.316870227850337,1.7405996058939335,0.5762706219564034
2023,Kiki Iriafen,Stanford Cardinal,2.3154935890923527,1.691430943682384,0.6240626454099685
2023,Georgia Amoore,Virginia Tech Hokies,2.2987949308653857,1.4165242216479215,0.8822707092174642
2023,Gianna Kneepkens,Utah Utes,2.2953197189094734,1.6479519186294345,0.6473678002800387
2023,Taylor Soule,Virginia Tech Hokies,2.2792644165583074,1.3993332596759918,0.8799311568823154
2023,Olivia Miles,Notre Dame Fighting Irish,2.2787266505222332,1.628844759576254,0.6498818909459793
2023,Elizabeth Kitley,Virginia Tech Hokies,2.2587712320172386,1.3030773295573388,0.9556939024598999
2023,Caitlin Clark,Iowa Hawkeyes,2.250408078164706,1.821233664151839,0.429174414012867
2023,Jenna Johnson,Utah Utes,2.2412103202413296,1.6135267763821333,0.6276835438591962
2023,Darianna Littlepage-Buggs,Baylor Bears,2.2346309810815157,0.6066769866684151,1.6279539944131005
2023,Maddy Westbeld,Notre Dame Fighting Irish,2.215837189952336,0.9945102612426064,1.2213269287097295
2023,Cameron Brink,Stanford Cardinal,2.211643165699546,1.0349049680506444,1.1767381976489015
2023,Grace Berger,Indiana Hoosiers,2.2097798273855354,1.7445291634791829,0.46525066390635234
2023,Kate Martin,Iowa Hawkeyes,2.2026948569384373,1.773005242227661,0.4296896147107761
2023,Cayla King,Virginia Tech Hokies,2.2011838915679194,1.3567847209495398,0.8443991706183797
2023,Rori Harmon,Texas Longhorns,2.1857940555550632,1.1489825561822087,1.0368114993728543
2023,Agnes Emma-Nnopu,Stanford Cardinal,2.17038448282792,1.0918567736602707,1.0785277091676497
2023,Taylor Mikesell,Ohio State Buckeyes,2.1619081801198705,1.4873815114255162,0.6745266686943542
2023,Sonia Citron,Notre Dame Fighting Irish,2.158512966929788,0.964963588795732,1.1935493781340556
2023,Kylee Watson,Notre Dame Fighting Irish,2.1506653829098985,0.9605002476739731,1.1901651352359253
2023,Taylor Thierry,Ohio State Buckeyes,2.1328730168587136,1.4736970674494303,0.6591759494092834
2023,Mackenzie Holmes,Indiana Hoosiers,2.129652126276928,1.563652236953783,0.5659998893231452
2023,Gabbie Marshall,Iowa Hawkeyes,2.1248577574467085,1.72777940302781,0.39707835441889844
2023,Jakia Brown-Turner,NC State Wolfpack,2.1238292365401508,1.3453618391064996,0.7784673974336513
2023,Anna Camden,Penn State Lady Lions,2.1145778371553328,0.8811988590765352,1.2333789780787976
2023,Cotie McMahon,Ohio State Buckeyes,2.1038144470466444,1.45593741441381,0.6478770326328346
2023,Tishara Morehouse,Florida Gulf Coast Eagles,2.087172720663495,1.6456414384906861,0.44153128217280874
2023,Camille Hobby,NC State Wolfpack,2.0862498448694655,1.3241642640462314,0.7620855808232342
2023,Monika Czinano,Iowa Hawkeyes,2.0727169757970567,1.684667458733389,0.3880495170636679
2023,Kennedy Todd-Williams,North Carolina Tar Heels,2.0694635479462447,0.8364733764117458,1.2329901715344986
2023,Ashley Joens,Iowa State Cyclones,2.0254383702263214,1.1764523204717088,0.8489860497546128
2023,Diamond Battles,Georgia Lady Bulldogs,2.0194629086077915,0.8851191269355141,1.1343437816722777
2023,Chandler Prater,Kansas Jayhawks,2.016195787099989,1.2864522826477576,0.7297435044522314
2023,Dorka Juhasz,UConn Huskies,2.0131122218289854,0.38985816421911185,1.6232540576098735
2023,Madison Scott,Ole Miss Rebels,2.008949787092982,0.8045775472156375,1.2043722398773449
2023,Brittney Smith,Georgia Lady Bulldogs,1.9941837438611054,0.8735335905388244,1.120650153322281
2023,Lexi Donarski,Iowa State Cyclones,1.9841681001917157,1.1545752081182366,0.8295928920734793
2023,Emily Ryan,Iowa State Cyclones,1.9833686716810042,1.154349064849228,0.8290196068317762
